iter,timestep,episodes,train_dist,train_pulses,eval_dist,eval_pulses
442,905216,86,14.043452,22.3140,,
443,907264,96,14.219822,20.7604,,
444,909312,88,14.258983,22.3068,,
445,911360,93,14.216984,20.9570,13.474029,38.7500
446,913408,88,14.159284,22.4886,,
447,915456,101,13.983193,19.5446,,
448,917504,93,14.355844,20.9247,,
449,919552,91,14.249244,21.4176,,
450,921600,91,14.270568,21.6264,13.158035,23.7500
451,923648,94,14.145142,21.2660,,
452,925696,91,14.133311,21.2967,,
453,927744,96,14.280119,20.5000,,
454,929792,83,14.036610,23.7229,,
455,931840,89,13.960964,21.9101,14.597353,31.7500
456,933888,92,14.121139,21.6196,,
457,935936,81,14.124674,24.3580,,
458,937984,92,14.154086,21.2826,,
459,940032,96,14.107358,20.3542,,
460,942080,87,14.050273,22.4713,14.204273,31.5000
461,944128,81,14.130678,24.3086,,
462,946176,84,14.237404,23.9286,,
463,948224,86,14.194954,22.6628,,
464,950272,97,14.240467,20.1753,,
465,952320,97,14.216434,20.0825,14.279251,32.0000
466,954368,103,14.303500,19.0971,,
467,956416,92,14.503436,21.5543,,
468,958464,91,14.091174,21.1538,,
469,960512,94,14.167104,21.0000,,
470,962560,92,14.351822,21.2065,14.420196,31.7500
471,964608,98,14.250107,20.3265,,
472,966656,94,14.313996,20.7234,,
473,968704,94,14.133416,20.8085,,
474,970752,91,14.246764,21.4945,,
475,972800,95,14.307503,20.3368,14.570691,22.2500
476,974848,100,14.206528,19.4400,,
477,976896,98,14.159019,19.8163,,
478,978944,104,14.237565,18.8365,,
479,980992,103,14.214993,18.9709,,
480,983040,94,14.022559,20.6170,13.996059,23.7500
481,985088,99,14.170233,20.1414,,
482,987136,93,14.165179,21.0645,,
483,989184,89,13.988725,21.8876,,
484,991232,90,14.018592,21.8778,,
485,993280,99,14.126155,19.5657,13.571718,15.5000
486,995328,93,14.031814,21.1290,,
487,997376,90,14.147083,21.7444,,
488,999424,89,14.171119,21.9326,,
489,1001472,104,14.279412,18.7692,,
490,1003520,97,14.316401,19.8763,14.053262,23.0000
491,1005568,94,14.092693,21.2447,,
492,1007616,93,14.156993,21.0215,,
493,1009664,102,14.232390,18.8529,,
494,1011712,88,14.257949,22.4773,,
495,1013760,106,14.177644,18.2642,14.274115,25.7500
496,1015808,81,13.986628,24.8889,,
497,1017856,99,14.021753,19.4949,,
498,1019904,98,14.050765,20.0102,,
499,1021952,97,14.157478,20.0515,,
500,1024000,94,14.168395,20.8085,14.257903,22.2500
501,1026048,104,14.248054,19.1058,,
502,1028096,105,14.273181,18.5238,,
503,1030144,95,13.977431,20.5895,,
504,1032192,103,14.125356,18.6311,,
505,1034240,98,13.952995,20.0714,14.054089,33.0000
506,1036288,103,14.309233,18.9806,,
507,1038336,101,14.143812,19.5842,,
508,1040384,104,14.181882,18.7788,,
509,1042432,96,14.147671,20.0625,,
510,1044480,105,14.266565,18.5714,14.248676,22.0000
511,1046528,108,14.254594,18.2870,,
512,1048576,112,14.196489,17.0625,,
513,1050624,110,14.077494,17.9091,,
514,1052672,106,14.138876,18.3491,,
515,1054720,105,14.146331,18.4571,13.805322,21.5000
516,1056768,110,14.234008,17.2727,,
517,1058816,109,14.334903,18.2018,,
518,1060864,112,14.192638,17.2500,,
519,1062912,91,13.952474,21.5714,,
520,1064960,107,14.204912,18.0561,14.495268,21.5000
521,1067008,103,14.151116,18.9417,,
522,1069056,105,14.196383,18.7238,,
523,1071104,98,14.236452,20.0714,,
524,1073152,115,14.154808,16.7391,,
525,1075200,108,14.027015,18.0185,14.684670,21.5000
526,1077248,107,14.140190,18.1963,,
527,1079296,100,14.474492,19.4300,,
528,1081344,104,14.005544,18.5000,,
529,1083392,107,14.352708,18.1682,,
530,1085440,100,13.889259,19.6800,14.244567,31.0000
531,1087488,113,14.345155,17.4867,,
532,1089536,103,14.116909,18.9223,,
533,1091584,104,14.172233,18.6346,,
534,1093632,114,14.002220,17.0351,,
535,1095680,100,14.208090,19.3800,13.105210,23.2500
536,1097728,113,14.110233,17.3540,,
537,1099776,110,14.294562,17.8000,,
538,1101824,107,14.224641,18.0374,,
539,1103872,98,14.129603,19.9694,,
540,1105920,105,14.109971,18.4286,13.845455,16.7500
541,1107968,116,14.225071,16.7759,,
542,1110016,90,13.967918,21.8667,,
543,1112064,109,14.192976,17.7431,,
544,1114112,100,14.042768,19.4900,,
545,1116160,98,14.024012,19.8673,14.356884,24.2500
546,1118208,98,14.197575,20.3061,,
547,1120256,116,14.027834,16.6638,,
548,1122304,107,14.172876,17.8224,,
549,1124352,117,14.043474,16.8205,,
550,1126400,105,14.009521,18.4190,14.445084,22.0000
551,1128448,102,14.310995,19.3137,,
552,1130496,105,14.069352,18.6857,,
553,1132544,109,14.087035,17.6330,,
554,1134592,101,14.180835,19.4851,,
555,1136640,113,14.223844,17.0708,14.837829,17.7500
556,1138688,105,14.132390,18.7238,,
557,1140736,103,14.250530,18.8932,,
558,1142784,114,14.159041,16.9298,,
559,1144832,108,14.103959,17.9907,,
560,1146880,97,14.127433,20.1031,14.900131,22.0000
561,1148928,93,13.995569,21.1505,,
562,1150976,110,14.150712,17.8909,,
563,1153024,97,14.254515,20.1856,,
564,1155072,112,14.088299,17.1786,,
565,1157120,112,14.298991,17.3839,14.088793,21.7500
566,1159168,96,14.180650,20.7500,,
567,1161216,105,14.178945,18.6000,,
568,1163264,105,14.015554,18.4571,,
569,1165312,111,14.215430,17.3514,,
570,1167360,87,14.304152,22.1609,13.025614,16.0000
571,1169408,90,14.030993,21.9444,,
572,1171456,97,14.230356,20.1753,,
573,1173504,92,14.264240,21.2391,,
574,1175552,99,13.844390,19.5253,,
575,1177600,113,14.155783,17.0796,14.276826,21.5000
576,1179648,90,14.144930,21.8333,,
577,1181696,109,14.090944,18.0734,,
578,1183744,108,14.060926,17.8981,,
579,1185792,99,14.088405,19.3838,,
580,1187840,113,14.057843,17.5398,14.218301,22.7500
581,1189888,105,14.204141,18.9429,,
582,1191936,98,13.982104,19.8163,,
583,1193984,106,14.158883,18.3962,,
584,1196032,109,14.218206,17.7248,,
585,1198080,105,14.308184,18.4286,13.175813,22.7500
586,1200128,106,13.968760,18.7075,,
587,1202176,106,14.196847,18.3208,,
588,1204224,107,14.096674,18.2243,,
589,1206272,114,14.140482,16.9649,,
590,1208320,105,14.151495,18.1143,13.559325,12.7500
591,1210368,109,14.137843,17.9450,,
592,1212416,102,14.253822,18.9216,,
593,1214464,105,14.188269,18.6286,,
594,1216512,105,14.167299,18.3810,,
595,1218560,100,14.145986,19.3100,14.085968,21.2500
596,1220608,105,14.229696,18.9238,,
597,1222656,109,14.255781,17.7706,,
598,1224704,112,14.196512,17.2768,,
599,1226752,99,14.263137,19.3030,,
600,1228800,101,14.162113,19.7327,14.386828,13.2500
601,1230848,95,14.204357,20.6737,,
602,1232896,109,14.230693,17.6606,,
603,1234944,93,14.288386,21.1183,,
604,1236992,103,14.177038,18.8932,,
605,1239040,101,14.161771,19.2178,13.811557,25.0000
606,1241088,110,14.101152,18.0182,,
607,1243136,107,14.183953,18.1495,,
608,1245184,115,14.218387,16.4609,,
609,1247232,97,14.200502,20.4433,,
610,1249280,106,13.863570,18.3774,13.832090,11.2500
611,1251328,106,14.190885,18.3962,,
612,1253376,96,14.414781,20.3021,,
613,1255424,104,14.100911,18.5865,,
614,1257472,112,14.177524,17.4107,,
615,1259520,98,14.081691,19.8878,13.873418,33.0000
616,1261568,105,14.147919,18.3333,,
617,1263616,102,14.048695,19.0588,,
618,1265664,117,14.220526,16.8120,,
619,1267712,104,14.030606,18.4231,,
620,1269760,113,14.276995,17.3805,13.603188,20.7500
621,1271808,114,14.039094,17.4035,,
622,1273856,109,14.041116,17.6972,,
623,1275904,112,14.180836,17.3125,,
624,1277952,110,14.119635,17.6727,,
625,1280000,107,14.071640,17.7103,13.618704,18.0000
626,1282048,112,14.212591,17.5982,,
627,1284096,103,14.183409,18.6699,,
628,1286144,110,14.174754,17.8091,,
629,1288192,111,14.234663,17.2072,,
630,1290240,100,14.229413,19.7300,13.417092,31.0000
631,1292288,106,14.321401,18.5566,,
632,1294336,102,14.140528,19.1373,,
633,1296384,107,14.269677,17.9065,,
634,1298432,103,14.046793,19.3010,,
635,1300480,104,14.193164,18.6442,14.366169,16.7500
636,1302528,103,14.083717,19.1068,,
637,1304576,100,14.190312,19.3200,,
638,1306624,101,14.278418,19.1980,,
639,1308672,109,14.062702,17.9725,,
640,1310720,111,14.035443,17.4234,13.443462,21.5000
641,1312768,102,14.106211,19.4608,,
642,1314816,106,14.303861,18.1887,,
643,1316864,100,14.269982,19.6800,,
644,1318912,96,14.296342,20.1458,,
645,1320960,98,14.195258,20.0612,14.056356,21.2500
646,1323008,116,14.168648,17.0172,,
647,1325056,106,14.131398,18.1038,,
648,1327104,117,14.130548,16.6325,,
649,1329152,108,14.326064,18.0926,,
650,1331200,114,14.155536,16.8860,13.568916,12.2500
651,1333248,111,14.001408,17.4775,,
652,1335296,120,14.102603,16.0500,,
653,1337344,118,14.000636,16.4661,,
654,1339392,110,14.150838,17.5364,,
655,1341440,117,14.214408,16.4701,13.980381,21.0000
656,1343488,114,14.206614,17.1491,,
657,1345536,113,14.242723,17.3186,,
658,1347584,107,14.208481,18.1869,,
659,1349632,115,14.212116,16.7913,,
660,1351680,115,14.152802,16.7652,12.526507,30.5000
661,1353728,124,14.239818,15.5081,,
